		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101000  278  241  227  239  246  259  248  260  8.340416 0.400943 SUCCESS 109
110101010  246  246  243  230  239  245  220  233  3.985118 0.858464 SUCCESS 110
110101100  240  232  239  235  242  263  224  234  4.837748 0.774769 SUCCESS 111
110110000  223  240  252  230  248  241  238  259  4.272153 0.831772 SUCCESS 112
110110010  263  241  254  257  259  228  235  262  6.411672 0.601221 SUCCESS 113
110110100  225  248  247  241  232  240  235  240  2.809442 0.945741 SUCCESS 114
110111000  222  219  249  269  273  268  242  242 13.456196 0.097088 SUCCESS 115
110111010  269  243  232  220  219  242  235  250  8.908130 0.350105 SUCCESS 116
110111100  249  259  243  274  243  259  240  253  6.173359 0.627820 SUCCESS 117
111000000  234  253  239  250  257  238  261  237  3.308310 0.913547 SUCCESS 118
111000010  283  282  235  255  252  225  247  227 16.423984 0.036698 SUCCESS 119
111000100  253  216  250  255  237  234  262  266  8.362658 0.398870 SUCCESS 120
111000110  232  235  270  257  253  257  229  243  6.525002 0.588636 SUCCESS 121
111001000  218  249  243  242  272  248  243  243  6.383074 0.604404 SUCCESS 122
111001010  247  222  242  258  272  247  250  261  7.623359 0.471098 SUCCESS 123
111001100  248  256  248  247  239  216  259  231  5.889502 0.659608 SUCCESS 124
111010000  252  223  246  250  231  268  253  238  5.951993 0.652610 SUCCESS 125
111010010  238  259  248  257  223  250  273  259  8.369013 0.398279 SUCCESS 126
111010100  270  258  250  241  247  250  231  271  7.810832 0.452164 SUCCESS 127
111010110  247  227  224  231  232  226  216  246  9.104076 0.333593 SUCCESS 128
111011000  221  275  233  216  266  238  233  259 13.827964 0.086361 SUCCESS 129
111011010  233  232  279  254  236  234  251  223  9.518210 0.300481 SUCCESS 130
111011100  218  225  256  250  254  246  249  257  6.415908 0.600749 SUCCESS 131
111100000  233  233  212  228  257  260  253  249  8.727012 0.365846 SUCCESS 132
111100010  252  242  277  281  233  258  247  235 12.349366 0.136283 SUCCESS 133
111100100  234  231  234  242  259  241  241  237  2.852868 0.943249 SUCCESS 134
111100110  246  260  257  253  240  219  246  240  4.952138 0.762679 SUCCESS 135
111101000  246  247  256  265  204  253  254  229 11.030702 0.199966 SUCCESS 136
111101010  263  267  257  221  270  242  217  239 12.778328 0.119708 SUCCESS 137
111101100  244  289  257  225  254  213  236  253 15.914524 0.043620 SUCCESS 138
111101110  246  234  248  241  231  261  243  243  2.501224 0.961674 SUCCESS 139
111110000  279  243  217  212  245  273  264  241 17.898345 0.022002 SUCCESS 140
111110010  233  227  250  267  261  242  240  247  5.462657 0.707174 SUCCESS 141
111110100  248  242  238  250  227  247  236  236  2.224782 0.973333 SUCCESS 142
111110110  234  254  268  253  236  240  223  241  5.879969 0.660675 SUCCESS 143
111111000  265  237  238  238  244  280  252  229  9.063827 0.336940 SUCCESS 144
111111010  242  244  266  248  232  217  249  232  6.573724 0.583242 SUCCESS 145
111111100  232  249  244  246  246  280  236  242  6.504878 0.590867 SUCCESS 146
111111110  238  241  251  243  242  245  226  240  1.892203 0.984140 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  250  265  232  253  219  243  270  233  8.989686 0.343167 SUCCESS   0
000000011  244  237  238  227  225  237  263  255  5.391693 0.715008 SUCCESS   1
000000101  229  239  197  264  240  234  255  250 13.316386 0.101418 SUCCESS   2
000000111  254  250  233  236  244  226  254  256  3.765871 0.877605 SUCCESS   3
000001001  237  219  249  237  242  263  252  240  5.068647 0.750214 SUCCESS   4
000001011  248  255  203  260  248  242  265  235 11.079423 0.197239 SUCCESS   5
000001101  250  285  221  233  229  267  240  242 13.292025 0.102189 SUCCESS   6
000001111  254  235  250  230  256  247  240  244  2.462035 0.963478 SUCCESS   7
000010001  252  257  261  245  270  247  231  238  5.935046 0.654508 SUCCESS   8
000010011  229  211  265  227  239  255  262  225 12.222265 0.141559 SUCCESS   9
000010101  258  234  256  245  236  233  227  249  3.997828 0.857319 SUCCESS  10
000010111  264  240  216  235  238  232  259  245  7.172154 0.518178 SUCCESS  11
000011001  231  254  240  246  245  249  252  239  1.707908 0.988695 SUCCESS  12
000011011  268  286  234  221  211  265  244  248 19.102619 0.014320 SUCCESS  13
000011101  251  269  259  237  246  242  227  238  5.409699 0.713023 SUCCESS  14
000011111  224  234  237  230  282  250  223  249 11.425771 0.178721 SUCCESS  15
